date,open,high,low,close,volume,sma_20,ema_20,sma_50,ema_50,sma_200,ema_200,ema_12,ema_26,macd,macd_signal,rsi,bb_middle,bb_std,bb_upper,bb_lower,bullish,candle_color,candle_streak_count,trend,exchange,pair,timeframe,date_downloaded
2023-01-01,16541.77,16628.0,16499.01,16616.75,96925.41,,16616.75,,16616.75,,16616.75,16616.75,16616.75,0.0,0.0,,,,,,False,green,1,sideways,binance,BTC/USDT,1d,2025-08-16 19:37:35.361413
2023-01-02,16617.17,16799.23,16548.7,16672.87,121888.57,,16622.09,,16618.95,,16617.31,16625.38,16620.91,4.48,0.9,,,,,,False,green,2,sideways,binance,BTC/USDT,1d,2025-08-16 19:37:35.361413
2023-01-03,16672.78,16778.4,16605.28,16675.18,159541.54,,16627.15,,16621.16,,16617.88,16633.04,16624.93,8.12,2.34,,,,,,False,green,3,sideways,binance,BTC/USDT,1d,2025-08-16 19:37:35.361413
2023-01-04,16675.65,16991.87,16652.66,16850.36,220362.19,,16648.41,,16630.14,,16620.2,16666.48,16641.63,24.85,6.84,,,,,,False,green,4,sideways,binance,BTC/USDT,1d,2025-08-16 19:37:35.361413
2023-01-05,16850.36,16879.82,16753.0,16831.85,163473.57,,16665.88,,16638.05,,16622.3,16691.92,16655.72,36.2,12.71,,,,,,False,red,1,sideways,binance,BTC/USDT,1d,2025-08-16 19:37:35.361413
2023-01-06,16831.85,17041.0,16679.0,16950.65,207401.28,,16693.0,,16650.31,,16625.57,16731.72,16677.56,54.16,21.0,,,,,,False,green,1,sideways,binance,BTC/USDT,1d,2025-08-16 19:37:35.361413
2023-01-07,16950.31,16981.91,16908.0,16943.57,104526.57,,16716.86,,16661.81,,16628.73,16764.32,16697.27,67.05,30.21,,,,,,False,red,1,sideways,binance,BTC/USDT,1d,2025-08-16 19:37:35.361413
2023-01-08,16943.83,17176.99,16911.0,17127.83,135155.9,,16756.0,,16680.09,,16633.7,16820.24,16729.16,91.08,42.39,,,,,,False,green,1,sideways,binance,BTC/USDT,1d,2025-08-16 19:37:35.361413
2023-01-09,17127.83,17398.8,17104.66,17178.26,266211.53,,16796.22,,16699.62,,16639.12,16875.32,16762.43,112.89,56.49,,,,,,False,green,2,sideways,binance,BTC/USDT,1d,2025-08-16 19:37:35.361413
2023-01-10,17179.04,17499.0,17146.34,17440.66,221382.43,,16857.59,,16728.68,,16647.09,16962.3,16812.67,149.63,75.12,,,,,,False,green,3,sideways,binance,BTC/USDT,1d,2025-08-16 19:37:35.361413
2023-01-11,17440.64,18000.0,17315.6,17943.26,262221.61,,16960.99,,16776.32,,16659.99,17113.21,16896.41,216.8,103.45,,,,,,False,green,4,sideways,binance,BTC/USDT,1d,2025-08-16 19:37:35.361413
2023-01-12,17943.26,19117.04,17892.05,18846.62,454568.32,,17140.57,,16857.5,,16681.75,17379.89,17040.87,339.02,150.57,,,,,,False,green,5,sideways,binance,BTC/USDT,1d,2025-08-16 19:37:35.361413
2023-01-13,18846.62,20000.0,18714.12,19930.01,368615.88,,17406.23,,16977.99,,16714.07,17772.22,17254.88,517.33,223.92,,,,,,False,green,6,sideways,binance,BTC/USDT,1d,2025-08-16 19:37:35.361413
2023-01-14,19930.01,21258.0,19888.05,20954.92,393913.75,,17744.2,,17133.95,,16756.27,18261.86,17528.96,732.9,325.72,99.42,,,,,False,green,7,sideways,binance,BTC/USDT,1d,2025-08-16 19:37:35.361413
2023-01-15,20952.76,21050.74,20551.01,20871.5,178542.23,,18042.04,,17280.52,,16797.22,18663.35,17776.56,886.79,437.93,97.56,,,,,False,red,1,sideways,binance,BTC/USDT,1d,2025-08-16 19:37:35.361413
2023-01-16,20872.99,21474.05,20611.48,21185.65,293078.08,,18341.43,,17433.66,,16840.88,19051.39,18029.08,1022.31,554.81,97.7,,,,,False,green,1,sideways,binance,BTC/USDT,1d,2025-08-16 19:37:35.361413
2023-01-17,21185.65,21647.45,20841.31,21134.81,275407.74,,18607.47,,17578.81,,16883.61,19371.92,18259.14,1112.78,666.4,96.66,,,,,False,red,1,sideways,binance,BTC/USDT,1d,2025-08-16 19:37:35.361413
2023-01-18,21132.29,21650.0,20407.15,20677.47,350916.02,,18804.61,,17700.32,,16921.36,19572.77,18438.27,1134.5,760.02,87.81,,,,,False,red,2,sideways,binance,BTC/USDT,1d,2025-08-16 19:37:35.361413
2023-01-19,20677.47,21192.0,20659.19,21071.59,251385.85,,19020.52,,17832.53,,16962.65,19803.36,18633.33,1170.03,842.02,88.99,,,,,False,green,1,sideways,binance,BTC/USDT,1d,2025-08-16 19:37:35.361413
2023-01-20,21071.59,22755.93,20861.28,22667.21,338079.14,18728.55,19367.82,,18022.13,,17019.41,20243.95,18932.14,1311.81,935.98,91.34,18728.55,2067.93,22864.4,14592.7,False,green,2,sideways,binance,BTC/USDT,1d,2025-08-16 19:37:35.361413
2023-01-21,22666.0,23371.8,22422.0,22783.55,346445.48,19036.89,19693.13,,18208.85,,17076.77,20634.66,19217.43,1417.23,1032.23,91.58,19036.89,2192.47,23421.84,14651.94,False,green,3,sideways,binance,BTC/USDT,1d,2025-08-16 19:37:35.361413
2023-01-22,22783.35,23078.71,22292.37,22707.88,253577.75,19338.64,19980.25,,18385.28,,17132.8,20953.62,19475.98,1477.64,1121.31,90.35,19338.64,2264.12,23866.88,14810.41,False,red,1,sideways,binance,BTC/USDT,1d,2025-08-16 19:37:35.361413
2023-01-23,22706.02,23180.0,22500.0,22916.45,293588.38,19650.71,20259.88,,18562.97,,17190.35,21255.59,19730.83,1524.76,1202.0,90.57,19650.71,2307.4,24265.5,15035.91,False,green,1,sideways,binance,BTC/USDT,1d,2025-08-16 19:37:35.361413
2023-01-24,22917.81,23162.2,22462.93,22632.89,293158.78,19939.83,20485.89,,18722.58,,17244.5,21467.48,19945.8,1521.69,1265.94,86.6,19939.83,2300.31,24540.45,15339.21,False,red,1,sideways,binance,BTC/USDT,1d,2025-08-16 19:37:35.361413
