date,open,high,low,close,volume,sma_20,ema_20,sma_50,ema_50,sma_200,ema_200,ema_12,ema_26,macd,macd_signal,rsi,bb_middle,bb_std,bb_upper,bb_lower,exchange,pair,timeframe,date_downloaded
2017-08-17 04:00:00,4261.48,4349.99,4261.32,4349.99,82.09,,4349.99,,4349.99,,4349.99,4349.99,4349.99,0.0,0.0,,,,,,binance,BTC/USDT,4h,2025-04-07 18:58:42.588614
2017-08-17 08:00:00,4333.32,4485.39,4333.32,4427.3,63.62,,4357.35,,4353.02,,4350.76,4361.88,4355.72,6.17,1.23,,,,,,binance,BTC/USDT,4h,2025-04-07 18:58:42.588614
2017-08-17 12:00:00,4436.06,4485.39,4333.42,4352.34,174.56,,4356.88,,4353.0,,4350.77,4360.42,4355.47,4.95,1.98,,,,,,binance,BTC/USDT,4h,2025-04-07 18:58:42.588614
2017-08-17 16:00:00,4352.33,4354.84,4200.74,4325.23,225.11,,4353.86,,4351.91,,4350.52,4355.0,4353.23,1.78,1.94,,,,,,binance,BTC/USDT,4h,2025-04-07 18:58:42.588614
2017-08-17 20:00:00,4307.56,4369.69,4258.56,4285.08,249.77,,4347.31,,4349.29,,4349.87,4344.25,4348.18,-3.93,0.76,,,,,,binance,BTC/USDT,4h,2025-04-07 18:58:42.588614
2017-08-18 00:00:00,4285.08,4340.62,4134.61,4292.39,276.19,,4342.08,,4347.05,,4349.3,4336.27,4344.05,-7.78,-0.95,,,,,,binance,BTC/USDT,4h,2025-04-07 18:58:42.588614
2017-08-18 04:00:00,4292.39,4340.62,4234.43,4300.25,248.39,,4338.1,,4345.22,,4348.81,4330.73,4340.8,-10.08,-2.77,,,,,,binance,BTC/USDT,4h,2025-04-07 18:58:42.588614
2017-08-18 08:00:00,4285.0,4371.52,4259.85,4340.31,196.14,,4338.31,,4345.03,,4348.73,4332.2,4340.77,-8.57,-3.93,,,,,,binance,BTC/USDT,4h,2025-04-07 18:58:42.588614
2017-08-18 12:00:00,4320.52,4340.31,4193.7,4236.89,175.97,,4328.65,,4340.79,,4347.61,4317.54,4333.07,-15.53,-6.25,,,,,,binance,BTC/USDT,4h,2025-04-07 18:58:42.588614
2017-08-18 16:00:00,4234.54,4297.75,4015.7,4136.28,193.65,,4310.33,,4332.77,,4345.51,4289.65,4318.49,-28.84,-10.77,,,,,,binance,BTC/USDT,4h,2025-04-07 18:58:42.588614
2017-08-18 20:00:00,4135.0,4136.48,3938.77,4108.37,109.55,,4291.09,,4323.97,,4343.15,4261.76,4302.93,-41.17,-16.85,,,,,,binance,BTC/USDT,4h,2025-04-07 18:58:42.588614
2017-08-19 00:00:00,4108.37,4184.69,4084.28,4138.55,108.51,,4276.57,,4316.69,,4341.11,4242.81,4290.75,-47.95,-23.07,,,,,,binance,BTC/USDT,4h,2025-04-07 18:58:42.588614
2017-08-19 04:00:00,4138.5,4156.0,3933.21,4033.47,112.75,,4253.41,,4305.59,,4338.05,4210.6,4271.7,-61.09,-30.67,,,,,,binance,BTC/USDT,4h,2025-04-07 18:58:42.588614
