strategy_id,date_executed,Period Start,Period End,Initial balance ($),Final balance ($),Performance (%),Hodl performance (%),Performance / Hodl (%),Total trades,Time in position (%),Win rate (%),Max drawdown (trades) (%),Max drawdown (equity) (%),Profit factor,Return / Max drawdown,Sharpe ratio,Sortino ratio,Calmar ratio,Average net PnL (%),Average trades/day,Average trade duration,Best trade (%),Best trade open,Best trade close,Worst trade (%),Worst trade open,Worst trade close,Total winning trades,Total losing trades,Avg PnL win trades (%),Avg PnL lose trades (%),Mean win trade duration,Mean lose trade duration,Max win streak,Max lose streak,Total fees,Biggest fee,Average fee,Open reason: Open long 1,Open reason: Open short 1,Open reason: Open long 2,Close reason: Exit long,Close reason: Exit short
x,2025-04-07T09:48:53.587,2025-01-01 00:00:00,2025-04-05 00:00:00,1000,1091.97,9.2,-11.69,23.65,7,21.28,85.71,-0.06,-2.71,136.69,3.39,3.38,3.72,12.8,3.96,0.074,2 days 20:34:17.142857142,7.35,2025-03-03 00:00:00,2025-03-04 00:00:00,-0.1,2025-02-25 00:00:00,2025-03-02 00:00:00,6,1,4.63,-0.1,2 days 12:00:00,5 days 00:00:00,4,1,2.19,0.53,0.31,3,3,1,4,3
btc_sma_daily,2025-04-07T09:59:01.989,2025-01-01 00:00:00,2025-04-05 00:00:00,1000,1091.97,9.2,-11.69,23.65,7,21.28,85.71,-0.06,-2.71,136.69,3.39,3.38,3.72,12.8,3.96,0.074,2 days 20:34:17.142857142,7.35,2025-03-03 00:00:00,2025-03-04 00:00:00,-0.1,2025-02-25 00:00:00,2025-03-02 00:00:00,6,1,4.63,-0.1,2 days 12:00:00,5 days 00:00:00,4,1,2.19,0.53,0.31,3,3,1,4,3
btc_sma_daily,2025-04-07T09:59:34.808,2025-01-01 00:00:00,2025-04-05 00:00:00,1000,1091.97,9.2,-11.69,23.65,7,21.28,85.71,-0.06,-2.71,136.69,3.39,3.38,3.72,12.8,3.96,0.074,2 days 20:34:17.142857142,7.35,2025-03-03 00:00:00,2025-03-04 00:00:00,-0.1,2025-02-25 00:00:00,2025-03-02 00:00:00,6,1,4.63,-0.1,2 days 12:00:00,5 days 00:00:00,4,1,2.19,0.53,0.31,3,3,1,4,3
btc_sma_daily,2025-04-07T10:12:05.958,2025-01-01 00:00:00,2025-04-05 00:00:00,1000,1091.97,9.2,-11.69,23.65,7,21.28,85.71,-0.06,-2.71,136.69,3.39,3.38,3.72,12.8,3.96,0.074,2 days 20:34:17.142857142,7.35,2025-03-03 00:00:00,2025-03-04 00:00:00,-0.1,2025-02-25 00:00:00,2025-03-02 00:00:00,6,1,4.63,-0.1,2 days 12:00:00,5 days 00:00:00,4,1,2.19,0.53,0.31,3,3,1,4,3
btc_sma_daily,2025-04-07T10:12:19.537,2025-01-01 00:00:00,2025-04-05 00:00:00,1000,1091.97,9.2,-11.69,23.65,7,21.28,85.71,-0.06,-2.71,136.69,3.39,3.38,3.72,12.8,3.96,0.074,2 days 20:34:17.142857142,7.35,2025-03-03 00:00:00,2025-03-04 00:00:00,-0.1,2025-02-25 00:00:00,2025-03-02 00:00:00,6,1,4.63,-0.1,2 days 12:00:00,5 days 00:00:00,4,1,2.19,0.53,0.31,3,3,1,4,3
btc_sma_daily,2025-04-07T10:38:55.155,2025-01-01 00:00:00,2025-04-05 00:00:00,1000,1091.97,9.2,-11.69,23.65,7,21.28,85.71,-0.06,-2.71,136.69,3.39,3.38,3.72,12.8,3.96,0.074,2 days 20:34:17.142857142,7.35,2025-03-03 00:00:00,2025-03-04 00:00:00,-0.1,2025-02-25 00:00:00,2025-03-02 00:00:00,6,1,4.63,-0.1,2 days 12:00:00,5 days 00:00:00,4,1,2.19,0.53,0.31,3,3,1,4,3
btc_sma_daily,2025-04-07T10:44:38.086,2025-01-01 00:00:00,2025-04-05 00:00:00,1000,1091.97,9.2,-11.69,23.65,7,21.28,85.71,-0.06,-2.71,136.69,3.39,3.38,3.72,12.8,3.96,0.074,2 days 20:34:17.142857142,7.35,2025-03-03 00:00:00,2025-03-04 00:00:00,-0.1,2025-02-25 00:00:00,2025-03-02 00:00:00,6,1,4.63,-0.1,2 days 12:00:00,5 days 00:00:00,4,1,2.19,0.53,0.31,3,3,1,4,3
btc_sma_daily,2025-04-07T10:47:41.970,2025-01-01 00:00:00,2025-04-05 00:00:00,1000,1091.97,9.2,-11.69,23.65,7,21.28,85.71,-0.06,-2.71,136.69,3.39,3.38,3.72,12.8,3.96,0.074,2 days 20:34:17.142857142,7.35,2025-03-03 00:00:00,2025-03-04 00:00:00,-0.1,2025-02-25 00:00:00,2025-03-02 00:00:00,6,1,4.63,-0.1,2 days 12:00:00,5 days 00:00:00,4,1,2.19,0.53,0.31,3,3,1,4,3
btc_sma_daily,2025-04-07T10:47:57.330,2025-01-01 00:00:00,2025-04-05 00:00:00,1000,1091.97,9.2,-11.69,23.65,7,21.28,85.71,-0.06,-2.71,136.69,3.39,3.38,3.72,12.8,3.96,0.074,2 days 20:34:17.142857142,7.35,2025-03-03 00:00:00,2025-03-04 00:00:00,-0.1,2025-02-25 00:00:00,2025-03-02 00:00:00,6,1,4.63,-0.1,2 days 12:00:00,5 days 00:00:00,4,1,2.19,0.53,0.31,3,3,1,4,3
btc_macd_daily,2025-04-07T11:10:21.144,2024-01-01 00:00:00,2025-04-05 00:00:00,1000,1026.99,2.7,89.09,-45.69,2,15.65,0,-11.95,-24.09,0,0.11,0.22,0.17,0.25,-7.82,0.004,36 days 00:00:00,-4.2,2024-08-03 00:00:00,2024-09-20 00:00:00,-11.45,2024-12-28 00:00:00,2025-01-21 00:00:00,0,2,0,-7.82,0,36 days 00:00:00,nan,2,1.51,0.78,0.75,2,2,,,
